ind_set,weight
"['[A,B]', '[A,L]', '[A,M]', '[C,B]', '[C,Q]', '[C,R]', '[N,B]', '[N,P]', '[W,M]', '[W,P]', '[W,R]', '[X,L]', '[X,P]', '[X,Q]', '[Y,L]', '[Y,R]', '[Z,M]', '[Z,Q]']",2794
"['[A,B]', '[A,L]', '[C,B]', '[C,Q]', '[M,L]', '[M,W]', '[M,Z]', '[N,B]', '[N,P]', '[N,Y]', '[N,Z]', '[R,Q]', '[R,W]', '[R,Y]', '[X,L]', '[X,P]', '[X,Q]']",2346
"['[B,A]', '[B,P]', '[C,A]', '[C,Q]', '[L,A]', '[L,X]', '[L,Y]', '[M,A]', '[N,P]', '[N,Y]', '[R,Q]', '[R,Y]', '[W,P]', '[Z,Q]']",93
"['[B,A]', '[B,N]', '[C,A]', '[C,Q]', '[C,R]', '[L,A]', '[L,X]', '[M,A]', '[M,W]', '[M,Z]', '[P,N]', '[P,W]', '[P,X]', '[Y,N]', '[Y,R]']",1999
"['[C,A]', '[C,B]', '[C,Q]', '[L,A]', '[L,Y]', '[M,A]', '[M,W]', '[M,Z]', '[N,B]', '[N,Y]', '[N,Z]', '[P,B]', '[P,W]', '[R,Q]', '[R,W]', '[R,Y]', '[X,Q]']",112
"['[C,A]', '[C,B]', '[C,Q]', '[L,A]', '[L,X]', '[L,Y]', '[M,A]', '[M,W]', '[M,Z]', '[N,B]', '[N,Y]', '[N,Z]', '[P,B]', '[P,W]', '[P,X]', '[R,Q]', '[R,W]', '[R,Y]']",1216
"['[B,A]', '[B,N]', '[B,P]', '[C,A]', '[C,Q]', '[L,A]', '[L,M]', '[L,Y]', '[R,Q]', '[R,Y]', '[W,M]', '[W,P]', '[X,P]', '[X,Q]', '[Z,M]', '[Z,N]', '[Z,Q]']",2196
"['[B,A]', '[B,N]', '[B,P]', '[C,A]', '[C,Q]', '[C,R]', '[M,A]', '[M,L]', '[W,P]', '[W,R]', '[X,L]', '[X,P]', '[X,Q]', '[Y,L]', '[Y,N]', '[Y,R]', '[Z,N]', '[Z,Q]']",2338
"['[A,B]', '[A,L]', '[C,B]', '[C,Q]', '[M,L]', '[M,W]', '[P,B]', '[P,N]', '[P,W]', '[R,Q]', '[R,W]', '[X,L]', '[X,Q]', '[Y,L]', '[Y,N]', '[Z,N]', '[Z,Q]']",663
"['[C,A]', '[C,B]', '[C,Q]', '[C,R]', '[L,A]', '[L,M]', '[N,B]', '[N,Z]', '[P,B]', '[W,M]', '[W,R]', '[X,Q]', '[Y,R]']",215
"['[A,B]', '[A,C]', '[A,M]', '[L,M]', '[L,X]', '[L,Y]', '[N,B]', '[N,Y]', '[N,Z]', '[P,B]', '[P,W]', '[P,X]', '[Q,C]', '[Q,X]', '[Q,Z]', '[R,C]', '[R,W]', '[R,Y]']",5083
"['[A,C]', '[A,M]', '[B,C]', '[B,N]', '[B,P]', '[L,M]', '[L,X]', '[L,Y]', '[Q,C]', '[Q,X]', '[R,C]', '[R,Y]', '[W,M]', '[W,P]', '[Z,M]', '[Z,N]']",168
"['[C,A]', '[C,B]', '[C,R]', '[L,A]', '[L,X]', '[L,Y]', '[M,A]', '[M,Z]', '[N,B]', '[N,P]', '[N,Y]', '[N,Z]', '[Q,R]', '[Q,X]', '[Q,Z]', '[W,P]', '[W,R]']",588
"['[A,B]', '[A,C]', '[A,L]', '[M,L]', '[M,W]', '[M,Z]', '[P,B]', '[P,N]', '[P,W]', '[P,X]', '[Q,C]', '[Q,R]', '[Q,X]', '[Q,Z]', '[Y,L]', '[Y,N]', '[Y,R]']",440
"['[B,A]', '[B,C]', '[B,N]', '[L,A]', '[L,X]', '[L,Y]', '[M,A]', '[M,W]', '[M,Z]', '[P,N]', '[P,W]', '[P,X]', '[Q,C]', '[Q,X]', '[Q,Z]', '[R,C]', '[R,W]', '[R,Y]']",1235
"['[C,A]', '[C,B]', '[C,R]', '[M,A]', '[M,L]', '[M,W]', '[M,Z]', '[P,B]', '[P,N]', '[P,W]', '[P,X]', '[Q,R]', '[Q,X]', '[Q,Z]', '[Y,L]', '[Y,N]', '[Y,R]']",2644
"['[B,A]', '[B,C]', '[B,N]', '[L,A]', '[L,X]', '[M,A]', '[P,N]', '[P,X]', '[Q,C]', '[Q,R]', '[Q,X]', '[W,R]', '[Y,N]', '[Y,R]', '[Z,N]']",1243
"['[C,A]', '[C,B]', '[C,R]', '[L,A]', '[L,M]', '[L,X]', '[P,B]', '[P,N]', '[P,X]', '[Q,R]', '[Q,X]', '[W,M]', '[W,R]', '[Y,N]', '[Y,R]', '[Z,M]', '[Z,N]']",2571
"['[A,B]', '[A,C]', '[A,L]', '[A,M]', '[N,B]', '[N,P]', '[N,Y]', '[N,Z]', '[Q,C]', '[Q,R]', '[Q,Z]', '[W,M]', '[W,P]', '[W,R]', '[X,L]', '[X,P]']",795
"['[A,B]', '[A,L]', '[A,M]', '[C,B]', '[C,R]', '[N,B]', '[N,P]', '[N,Z]', '[Q,R]', '[Q,Z]', '[W,M]', '[W,P]', '[W,R]', '[X,L]', '[X,P]', '[Y,L]', '[Y,R]']",823
"['[A,C]', '[A,M]', '[B,C]', '[B,P]', '[L,M]', '[L,Y]', '[N,P]', '[N,Y]', '[R,C]', '[R,Q]', '[R,Y]', '[W,M]', '[W,P]', '[X,P]', '[X,Q]', '[Z,M]', '[Z,Q]']",1375
"['[A,C]', '[A,L]', '[A,M]', '[B,C]', '[B,P]', '[N,P]', '[N,Z]', '[R,C]', '[R,Q]', '[W,M]', '[W,P]', '[X,L]', '[X,P]', '[X,Q]', '[Y,L]']",430
"['[A,C]', '[A,L]', '[A,M]', '[B,C]', '[B,N]', '[B,P]', '[Q,C]', '[Q,R]', '[W,M]', '[W,P]', '[W,R]', '[X,L]', '[X,P]', '[Y,L]', '[Y,N]', '[Y,R]', '[Z,M]', '[Z,N]']",2504
"['[B,A]', '[B,C]', '[B,P]', '[M,A]', '[M,L]', '[M,Z]', '[N,P]', '[N,Z]', '[Q,C]', '[Q,R]', '[Q,Z]', '[W,P]', '[W,R]', '[X,L]', '[X,P]', '[Y,L]', '[Y,R]']",2364
"['[B,A]', '[B,C]', '[B,P]', '[L,A]', '[L,M]', '[L,Y]', '[N,P]', '[N,Y]', '[R,C]', '[R,Q]', '[R,Y]', '[W,M]', '[W,P]', '[X,P]', '[X,Q]', '[Z,M]', '[Z,Q]']",2364
"['[A,B]', '[A,C]', '[A,L]', '[M,L]', '[M,W]', '[M,Z]', '[P,B]', '[P,N]', '[P,W]', '[R,C]', '[R,Q]', '[R,W]', '[R,Y]', '[X,L]', '[X,Q]']",1028
"['[A,C]', '[A,L]', '[B,C]', '[B,N]', '[M,L]', '[M,W]', '[P,N]', '[P,W]', '[R,C]', '[R,Q]', '[R,W]', '[X,L]', '[X,Q]', '[Y,L]', '[Y,N]', '[Z,N]', '[Z,Q]']",2147
"['[B,A]', '[B,C]', '[B,N]', '[B,P]', '[L,A]', '[M,A]', '[M,W]', '[Q,C]', '[R,C]', '[R,W]', '[X,P]', '[Y,N]', '[Z,N]']",140
"['[A,C]', '[A,L]', '[B,C]', '[B,N]', '[M,L]', '[M,W]', '[P,N]', '[R,C]', '[R,Q]', '[R,W]', '[Z,N]', '[Z,Q]']",2
